n,Date,Course,Horse,Stake,Result,Result_comment,Win_total,Price_taken,Price_taken_dec,SP,SP_dec,Price_SP_diff,PL_total,Bet_profit_loss,Running_profit_loss,Cumulative_stake,Win_percent_strike,Profit_loss_percent_strike,Win_percent_profit,Comments
1,2022-01-01,Uttoxeter,Baltic Baron ,£100.00,0,PU,0,4/1,5,11/1,12,7,0,-£100.00,-£100.00,£100,0.00,0.00,-100.00,Massive drifter.
2,2022-01-01,Exeter,Runasimi River,£100.00,0,unpl,0,11/2,6.5,15/2,8.5,2,0,-£100.00,-£200.00,£200,0.00,0.00,-100.00,Very weak – never went a yard.
